Mozilla/5.0 (Linux; Android 8.0.5; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/87.0.584.242 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13.0.0; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/263.0.1201.231 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12.2.1; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/42.0.3254.256 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.3; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/125.0.6694.22 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 1.1.3; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.374.59 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13.0.0; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/41.0.3195.247 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11.1.3; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/188.0.6665.29 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 6.0.1; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/273.0.4133.115 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11.0.3; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.1246.175 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 12.3.0; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.302.252 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.5.5; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.3037.138 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 9.3.3; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.4281.87 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 9.2.2; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/108.0.924.222 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 10.4.0; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/199.0.3477.258 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 5.2.3; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/24.0.348.274 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13.1.2; MotoG3 Build/MPIS24.107-55-2-17; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/195.0.6769.24 Mobile Safari/537.36
